event_id,user_id,event_type,timestamp,signup_date,country,device,variant
1,1,visit,2024-02-07 15:34:00,2024-01-09,UK,Desktop,B
2,1,view,2024-02-01 23:35:00,2024-01-09,UK,Desktop,B
3,2,visit,2024-02-01 16:53:00,2024-01-14,India,Desktop,A
4,3,visit,2024-02-01 07:55:00,2024-01-16,India,Desktop,A
5,3,view,2024-02-07 04:20:00,2024-01-16,India,Desktop,A
6,4,visit,2024-02-06 22:08:00,2024-01-09,USA,Mobile,B
7,5,visit,2024-02-04 14:54:00,2024-01-03,USA,Desktop,B
8,5,view,2024-02-03 01:56:00,2024-01-03,USA,Desktop,B
9,5,add_to_cart,2024-02-04 04:19:00,2024-01-03,USA,Desktop,B
10,5,purchase,2024-02-02 04:03:00,2024-01-03,USA,Desktop,B
11,6,visit,2024-02-01 00:48:00,2024-01-10,India,Desktop,B
12,6,view,2024-02-07 13:15:00,2024-01-10,India,Desktop,B
13,7,visit,2024-02-04 04:00:00,2024-01-11,USA,Mobile,A
14,7,view,2024-02-03 06:44:00,2024-01-11,USA,Mobile,A
15,7,add_to_cart,2024-02-03 18:10:00,2024-01-11,USA,Mobile,A
16,8,visit,2024-02-06 21:36:00,2024-01-01,India,Mobile,B
17,9,visit,2024-02-03 13:27:00,2024-01-03,USA,Mobile,B
18,9,view,2024-02-02 16:35:00,2024-01-03,USA,Mobile,B
19,10,visit,2024-02-07 19:11:00,2024-01-16,UK,Mobile,B
20,11,visit,2024-02-06 10:57:00,2024-01-01,USA,Desktop,A
21,11,view,2024-02-03 10:32:00,2024-01-01,USA,Desktop,A
22,12,visit,2024-02-02 01:01:00,2024-01-04,USA,Mobile,A
23,12,view,2024-02-02 12:07:00,2024-01-04,USA,Mobile,A
24,13,visit,2024-02-07 20:36:00,2024-01-10,UK,Desktop,A
25,13,view,2024-02-06 02:00:00,2024-01-10,UK,Desktop,A
26,14,visit,2024-02-05 10:11:00,2024-01-26,India,Desktop,B
27,14,view,2024-02-04 03:44:00,2024-01-26,India,Desktop,B
28,14,add_to_cart,2024-02-05 13:50:00,2024-01-26,India,Desktop,B
29,15,visit,2024-02-02 20:28:00,2024-01-04,UK,Desktop,B
30,16,visit,2024-02-01 08:12:00,2024-01-31,India,Desktop,A
31,16,view,2024-02-07 17:06:00,2024-01-31,India,Desktop,A
32,17,visit,2024-02-05 17:17:00,2024-01-10,USA,Mobile,A
33,17,view,2024-02-05 03:30:00,2024-01-10,USA,Mobile,A
34,17,add_to_cart,2024-02-07 12:56:00,2024-01-10,USA,Mobile,A
35,17,purchase,2024-02-05 10:58:00,2024-01-10,USA,Mobile,A
36,18,visit,2024-02-06 22:04:00,2024-01-28,India,Desktop,B
37,18,view,2024-02-01 00:17:00,2024-01-28,India,Desktop,B
38,19,visit,2024-02-07 17:14:00,2024-01-24,UK,Desktop,A
39,19,view,2024-02-06 07:32:00,2024-01-24,UK,Desktop,A
40,20,visit,2024-02-07 16:31:00,2024-01-21,India,Desktop,B
41,20,view,2024-02-03 15:36:00,2024-01-21,India,Desktop,B
42,21,visit,2024-02-03 14:35:00,2024-01-02,India,Desktop,A
43,22,visit,2024-02-01 16:53:00,2024-01-29,India,Desktop,A
44,22,view,2024-02-05 05:07:00,2024-01-29,India,Desktop,A
45,23,visit,2024-02-04 05:02:00,2024-01-20,USA,Mobile,B
46,24,visit,2024-02-06 02:54:00,2024-01-03,UK,Desktop,A
47,25,visit,2024-02-05 08:02:00,2024-01-05,India,Mobile,A
48,25,view,2024-02-05 14:24:00,2024-01-05,India,Mobile,A
49,26,visit,2024-02-06 06:24:00,2024-01-09,UK,Mobile,B
50,27,visit,2024-02-05 07:10:00,2024-01-26,UK,Desktop,B
51,27,view,2024-02-05 09:12:00,2024-01-26,UK,Desktop,B
52,27,add_to_cart,2024-02-05 08:09:00,2024-01-26,UK,Desktop,B
53,27,purchase,2024-02-05 03:01:00,2024-01-26,UK,Desktop,B
54,28,visit,2024-02-04 00:37:00,2024-01-29,UK,Desktop,A
55,28,view,2024-02-07 07:13:00,2024-01-29,UK,Desktop,A
56,28,add_to_cart,2024-02-04 17:31:00,2024-01-29,UK,Desktop,A
57,28,purchase,2024-02-05 14:56:00,2024-01-29,UK,Desktop,A
58,29,visit,2024-02-04 17:34:00,2024-01-24,India,Desktop,B
59,30,visit,2024-02-01 18:15:00,2024-01-05,UK,Mobile,A
60,30,view,2024-02-05 15:47:00,2024-01-05,UK,Mobile,A
61,31,visit,2024-02-02 03:08:00,2024-01-07,UK,Desktop,A
62,32,visit,2024-02-07 02:33:00,2024-01-28,India,Desktop,A
63,32,view,2024-02-03 18:16:00,2024-01-28,India,Desktop,A
64,33,visit,2024-02-01 03:02:00,2024-01-25,UK,Mobile,A
65,34,visit,2024-02-04 12:52:00,2024-01-23,India,Mobile,A
66,34,view,2024-02-07 07:17:00,2024-01-23,India,Mobile,A
67,35,visit,2024-02-02 15:49:00,2024-01-14,USA,Mobile,A
68,35,view,2024-02-04 20:49:00,2024-01-14,USA,Mobile,A
69,35,add_to_cart,2024-02-04 00:21:00,2024-01-14,USA,Mobile,A
70,35,purchase,2024-02-01 05:19:00,2024-01-14,USA,Mobile,A
71,36,visit,2024-02-03 09:01:00,2024-01-03,USA,Mobile,A
72,36,view,2024-02-07 03:03:00,2024-01-03,USA,Mobile,A
73,36,add_to_cart,2024-02-06 13:31:00,2024-01-03,USA,Mobile,A
74,36,purchase,2024-02-05 16:26:00,2024-01-03,USA,Mobile,A
75,37,visit,2024-02-07 07:01:00,2024-01-20,USA,Desktop,B
76,37,view,2024-02-06 00:30:00,2024-01-20,USA,Desktop,B
77,38,visit,2024-02-06 17:16:00,2024-01-14,UK,Desktop,B
78,38,view,2024-02-04 02:21:00,2024-01-14,UK,Desktop,B
79,39,visit,2024-02-05 17:04:00,2024-01-05,India,Desktop,B
80,40,visit,2024-02-02 10:21:00,2024-01-23,UK,Mobile,A
81,40,view,2024-02-04 05:14:00,2024-01-23,UK,Mobile,A
82,40,add_to_cart,2024-02-02 02:22:00,2024-01-23,UK,Mobile,A
83,41,visit,2024-02-02 21:59:00,2024-01-02,India,Desktop,A
84,41,view,2024-02-06 04:36:00,2024-01-02,India,Desktop,A
85,42,visit,2024-02-06 07:11:00,2024-01-30,India,Desktop,B
86,43,visit,2024-02-01 22:04:00,2024-01-02,USA,Mobile,A
87,44,visit,2024-02-06 18:25:00,2024-01-06,USA,Mobile,B
88,45,visit,2024-02-04 22:59:00,2024-01-11,USA,Desktop,B
